step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
168,1,-98.7917,183626.08,0.03521,85.25,0.378603,0.9973,
336,2,-75.2985,170408.43,0.02050,86.25,0.244169,0.9947,
504,3,-80.9446,186010.84,0.02595,90.00,0.103101,0.9920,
672,4,-104.3790,186592.20,0.02666,88.50,0.113234,0.9894,
840,5,-80.4063,189102.04,0.00900,90.25,0.097571,0.9867,
1008,6,-97.2622,202943.11,0.01541,89.50,0.097656,0.9840,
1176,7,-99.3410,203177.81,0.02009,90.25,0.034226,0.9814,
1344,8,-95.1948,190860.76,0.01116,83.75,0.093796,0.9787,
1512,9,-80.6968,181667.72,0.02495,90.75,0.031808,0.9761,
1680,10,-78.0819,177544.15,0.03173,88.25,0.026690,0.9734,
1848,11,-89.4876,191186.53,0.02409,90.00,0.045203,0.9707,
2016,12,-77.2477,175865.94,0.00910,85.50,0.053769,0.9681,
2184,13,-76.4784,175761.56,0.02188,87.75,0.028044,0.9654,
2352,14,-91.2138,191486.09,0.03105,89.75,0.038342,0.9628,
2520,15,-82.3218,181229.04,0.02779,90.75,0.014617,0.9601,
2688,16,-91.3773,195229.81,0.02435,91.25,0.081235,0.9574,
2856,17,-72.5958,167304.91,0.06371,97.25,0.056440,0.9548,
3024,18,-75.9344,169130.15,0.03154,89.25,0.041704,0.9521,
3192,19,-77.5496,166782.85,0.01669,83.75,0.048458,0.9495,
3360,20,-75.0414,168324.55,0.01893,83.75,0.094244,0.9468,
3528,21,-79.2606,177659.87,0.02762,88.50,0.045572,0.9441,
3696,22,-77.3284,175519.76,0.02011,88.75,0.022046,0.9415,
3864,23,-77.3366,172279.54,0.02732,87.50,0.017673,0.9388,
4032,24,-82.7314,177702.62,0.01743,87.50,0.049434,0.9362,
4200,25,-92.0279,190844.93,0.01790,84.75,0.041320,0.9335,
4368,26,-75.8857,168114.24,0.01480,83.00,0.034282,0.9308,
4536,27,-73.2854,167094.97,0.04199,94.00,0.049517,0.9282,
4704,28,-96.3119,194731.33,0.02658,88.75,0.046921,0.9255,
4872,29,-74.4710,168847.80,0.01107,81.75,0.029714,0.9229,
5000,29,,,,,,,-60.0083
