step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
14616,87,-77.5498,155269.74,0.02473,77.75,0.036264,0.7686,
14784,88,-72.3825,141457.07,0.06822,89.50,0.041897,0.7659,
14952,89,-77.6350,157989.78,0.02979,83.25,0.036297,0.7633,
15000,89,,,,,,,-78.5402
15120,90,-75.0743,149589.28,0.02899,78.25,0.038868,0.7606,
15288,91,-81.4258,144392.89,0.04276,82.25,0.030851,0.7579,
15456,92,-75.3459,146475.18,0.03714,82.75,0.043587,0.7553,
15624,93,-75.2772,151223.73,0.03699,80.50,0.020835,0.7526,
15792,94,-74.9594,146267.87,0.04879,83.00,0.022335,0.7500,
15960,95,-97.2373,181823.56,0.02851,85.50,0.040436,0.7473,
16128,96,-71.6052,150457.20,0.02419,77.50,0.037032,0.7446,
16296,97,-73.6092,146089.16,0.02570,75.00,0.050790,0.7420,
16464,98,-73.7969,153684.37,0.03705,84.25,0.045963,0.7393,
16632,99,-77.2591,141167.89,0.04766,81.50,0.039085,0.7367,
16800,100,-73.5455,139389.18,0.06376,89.00,0.052306,0.7340,
16968,101,-95.4323,182041.15,0.02559,82.00,0.029555,0.7313,
17136,102,-97.7074,181658.86,0.02600,84.50,0.032310,0.7287,
17304,103,-75.3239,150070.28,0.03635,82.50,0.060106,0.7260,
17472,104,-75.8902,140872.52,0.06412,88.75,0.046607,0.7234,
17640,105,-81.2391,151816.90,0.03523,83.50,0.035334,0.7207,
17808,106,-100.0801,176503.87,0.02558,83.00,0.038292,0.7180,
17976,107,-95.0972,171974.72,0.03327,80.00,0.042981,0.7154,
18144,108,-74.6823,147114.30,0.04673,82.75,0.045652,0.7127,
18312,109,-74.3128,136052.02,0.04992,79.00,0.023890,0.7101,
18480,110,-74.1566,147102.40,0.01690,74.00,0.034829,0.7074,
18648,111,-76.1141,154639.14,0.04554,89.25,0.027808,0.7047,
18816,112,-72.6749,135553.10,0.03466,74.50,0.055688,0.7021,
18984,113,-74.8615,147723.93,0.04566,84.75,0.043205,0.6994,
19152,114,-95.6644,184013.15,0.03667,87.00,0.038027,0.6968,
19320,115,-96.4592,183931.26,0.02909,84.25,0.042568,0.6941,
19488,116,-99.9063,183487.75,0.04834,93.25,0.033591,0.6914,
19656,117,-70.9280,141183.01,0.02668,71.25,0.049234,0.6888,
19824,118,-80.8619,148236.69,0.02533,76.75,0.061427,0.6861,
19992,119,-95.3994,179250.33,0.03079,83.00,0.057739,0.6835,
20000,119,,,,,,,-79.2393
20160,120,-97.9671,177550.56,0.04282,81.25,0.044058,0.6808,
20328,121,-68.9453,142307.49,0.02539,75.75,0.035176,0.6781,
20496,122,-74.2414,139285.24,0.04100,76.75,0.066709,0.6755,
20664,123,-75.9028,148410.88,0.02476,77.25,0.054319,0.6728,
20832,124,-69.1126,133979.67,0.02851,73.50,0.046013,0.6702,
21000,125,-96.6456,172755.24,0.02641,81.75,0.042373,0.6675,
21168,126,-71.0545,142278.66,0.03309,78.75,0.039477,0.6648,
21336,127,-70.8610,135004.29,0.04030,78.50,0.045271,0.6622,
21504,128,-78.6520,154317.96,0.07261,89.75,0.050836,0.6595,
21672,129,-71.7430,139141.31,0.04244,74.25,0.045657,0.6569,
21840,130,-73.9926,140491.47,0.05691,88.25,0.071034,0.6542,
22008,131,-71.2016,137531.67,0.03469,76.25,0.037990,0.6515,
22176,132,-72.1026,131888.97,0.03145,70.00,0.047093,0.6489,
22344,133,-70.3624,134017.65,0.04737,73.75,0.058367,0.6462,
22512,134,-70.2071,134273.73,0.03289,72.25,0.064366,0.6436,
22680,135,-76.3445,147233.39,0.04347,82.75,0.042400,0.6409,
22848,136,-68.3903,135291.37,0.03061,70.75,0.042607,0.6382,
23016,137,-72.4522,138649.03,0.02364,72.25,0.033120,0.6356,
23184,138,-94.8167,166745.77,0.05481,88.00,0.058902,0.6329,
23352,139,-77.9353,144029.69,0.03492,78.75,0.049574,0.6303,
23520,140,-69.3262,137412.66,0.04718,75.75,0.034063,0.6276,
23688,141,-70.5162,134806.55,0.03571,73.75,0.044474,0.6249,
23856,142,-95.5208,173304.51,0.01813,79.75,0.042400,0.6223,
24024,143,-70.8569,133065.73,0.05756,81.75,0.041372,0.6196,
24192,144,-73.3077,135895.47,0.05842,82.50,0.053077,0.6170,
24360,145,-93.0062,174788.27,0.03782,85.50,0.037213,0.6143,
24528,146,-72.3071,134493.73,0.04473,74.00,0.046000,0.6116,
24696,147,-71.9202,132312.54,0.07438,86.00,0.030985,0.6090,
24864,148,-73.4542,144005.46,0.03060,77.00,0.042096,0.6063,
25000,148,,,,,,,-67.9925
25032,149,-65.7961,127452.48,0.02531,67.25,0.036653,0.6037,
25200,150,-92.8395,172641.46,0.05463,90.25,0.041708,0.6010,
25368,151,-67.3680,130087.53,0.04882,79.25,0.050587,0.5983,
25536,152,-69.1300,134511.29,0.03909,75.50,0.037489,0.5957,
25704,153,-92.0065,177809.92,0.03576,84.00,0.037556,0.5930,
25872,154,-69.5763,134687.80,0.04619,77.25,0.032702,0.5904,
26040,155,-72.2093,133941.84,0.04866,81.25,0.055650,0.5877,
26208,156,-97.0103,174012.76,0.04090,88.75,0.050444,0.5850,
26376,157,-66.4841,126018.61,0.04681,72.50,0.055486,0.5824,
26544,158,-68.3847,132413.81,0.01685,64.50,0.037714,0.5797,
26712,159,-92.8589,175172.79,0.05483,85.25,0.071583,0.5771,
26880,160,-68.5254,128408.17,0.03344,70.25,0.044292,0.5744,
27048,161,-77.4599,129434.27,0.05244,76.75,0.061859,0.5717,
27216,162,-66.4108,133162.04,0.04031,74.25,0.049380,0.5691,
27384,163,-67.4993,129951.76,0.02912,69.00,0.055940,0.5664,
27552,164,-69.3209,127946.71,0.03546,69.00,0.036404,0.5638,
27720,165,-69.1104,140536.24,0.04898,79.25,0.051584,0.5611,
27888,166,-98.1174,187725.08,0.04826,94.75,0.041471,0.5584,
28056,167,-75.9586,137733.64,0.04641,79.50,0.036985,0.5558,
28224,168,-64.7038,121120.30,0.05508,74.50,0.038626,0.5531,
28392,169,-67.4260,123211.41,0.04964,72.00,0.066490,0.5505,
28560,170,-89.3258,170929.10,0.03421,81.00,0.044982,0.5478,
28728,171,-94.7899,170907.25,0.04089,84.25,0.039217,0.5451,
28896,172,-81.9335,128143.84,0.05925,74.75,0.067274,0.5425,
