step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
14616,87,-82.8709,156246.87,0.02832,81.75,0.032134,0.7686,
14784,88,-79.7013,141361.88,0.06762,88.50,0.048189,0.7659,
14952,89,-83.3307,160566.22,0.02926,85.00,0.031465,0.7633,
15000,89,,,,,,,-86.5552
15120,90,-81.7081,151911.28,0.04494,87.00,0.039759,0.7606,
15288,91,-90.1493,147877.76,0.05159,87.75,0.039915,0.7579,
15456,92,-81.8683,147522.27,0.03688,83.00,0.045522,0.7553,
15624,93,-81.9237,151055.19,0.04103,81.00,0.024955,0.7526,
15792,94,-81.9799,149248.60,0.04595,85.25,0.026909,0.7500,
15960,95,-104.5161,181690.72,0.03021,84.50,0.044863,0.7473,
16128,96,-76.4628,148865.02,0.02730,78.50,0.042179,0.7446,
16296,97,-79.2044,146509.62,0.01833,74.00,0.057212,0.7420,
16464,98,-78.3227,152074.79,0.02080,76.75,0.047390,0.7393,
16632,99,-80.6647,143683.40,0.03681,79.75,0.045308,0.7367,
16800,100,-80.3536,140462.34,0.05215,84.00,0.039060,0.7340,
16968,101,-101.6126,180237.38,0.03658,84.75,0.023331,0.7313,
17136,102,-100.8112,182552.96,0.02838,87.25,0.039286,0.7287,
17304,103,-81.9765,149388.06,0.03055,78.25,0.065956,0.7260,
17472,104,-80.0436,138771.91,0.04985,83.50,0.053307,0.7234,
17640,105,-88.0125,152203.24,0.04119,83.75,0.030797,0.7207,
17808,106,-103.8484,175578.60,0.02963,81.75,0.039759,0.7180,
17976,107,-100.7191,173853.10,0.03452,82.00,0.043764,0.7154,
18144,108,-80.7428,145663.29,0.04652,84.00,0.047352,0.7127,
18312,109,-81.2473,136560.77,0.04253,76.25,0.026745,0.7101,
18480,110,-79.8180,147618.24,0.01565,74.50,0.033849,0.7074,
18648,111,-81.5182,154087.47,0.03753,85.00,0.034597,0.7047,
18816,112,-79.7104,136794.34,0.03234,74.75,0.047772,0.7021,
18984,113,-81.8939,151121.57,0.03447,83.50,0.042321,0.6994,
19152,114,-100.8607,180797.00,0.02316,82.75,0.039258,0.6968,
19320,115,-100.7911,186690.16,0.03059,87.25,0.042735,0.6941,
19488,116,-107.0965,183273.71,0.04982,92.00,0.033021,0.6914,
19656,117,-77.0553,142730.84,0.02609,71.75,0.047213,0.6888,
19824,118,-85.5760,148829.97,0.02905,79.50,0.062997,0.6861,
19992,119,-102.1144,172992.11,0.03597,83.25,0.051453,0.6835,
20000,119,,,,,,,-79.8359
20160,120,-104.5304,176766.66,0.03374,79.75,0.054676,0.6808,
20328,121,-74.3951,140664.10,0.02443,74.50,0.042652,0.6781,
20496,122,-81.6439,140743.20,0.04889,84.00,0.062531,0.6755,
20664,123,-81.6599,148798.84,0.02648,79.00,0.046166,0.6728,
20832,124,-74.1080,131498.06,0.03037,72.50,0.044738,0.6702,
21000,125,-100.2462,177662.31,0.02224,82.50,0.040571,0.6675,
21168,126,-79.5052,142732.98,0.03825,81.25,0.047800,0.6648,
21336,127,-76.3256,137150.40,0.03395,75.00,0.043950,0.6622,
21504,128,-86.8367,152655.08,0.06253,91.50,0.050242,0.6595,
21672,129,-80.2080,139712.90,0.05096,79.00,0.046938,0.6569,
21840,130,-81.1094,142462.17,0.05331,85.75,0.060799,0.6542,
22008,131,-78.3754,138609.87,0.03178,75.25,0.041349,0.6515,
22176,132,-77.3840,130349.05,0.02796,67.00,0.055261,0.6489,
22344,133,-78.0850,135025.48,0.04316,74.50,0.066907,0.6462,
22512,134,-77.3165,135322.80,0.03008,71.00,0.044449,0.6436,
22680,135,-83.7374,152865.70,0.03622,82.50,0.047914,0.6409,
22848,136,-74.6120,135844.94,0.02367,68.75,0.038586,0.6382,
23016,137,-78.1232,139241.82,0.01425,68.75,0.031120,0.6356,
23184,138,-100.9577,167861.33,0.03817,81.50,0.058987,0.6329,
23352,139,-85.9589,141738.28,0.03424,77.00,0.027206,0.6303,
23520,140,-76.2450,138278.22,0.04244,75.75,0.034238,0.6276,
23688,141,-75.7799,137908.18,0.03370,72.50,0.047421,0.6249,
23856,142,-100.5202,174594.93,0.01067,78.25,0.044657,0.6223,
24024,143,-77.3666,135347.55,0.05903,84.00,0.043143,0.6196,
24192,144,-80.8736,140376.05,0.04552,78.75,0.047172,0.6170,
24360,145,-97.1907,176095.53,0.03196,81.25,0.040458,0.6143,
24528,146,-77.5109,137018.40,0.04887,79.50,0.049653,0.6116,
24696,147,-79.8903,137479.01,0.06123,83.50,0.038122,0.6090,
24864,148,-79.6347,141742.91,0.02493,74.50,0.044910,0.6063,
25000,148,,,,,,,-79.3843
