step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
14616,87,-76.6327,158457.41,0.01907,79.75,0.050668,0.7686,
14784,88,-73.9686,145916.88,0.05975,85.75,0.028950,0.7659,
14952,89,-76.7154,162028.28,0.01753,81.00,0.031701,0.7633,
15000,89,,,,,,,-68.6361
15120,90,-78.5487,155566.57,0.04006,86.50,0.097680,0.7606,
15288,91,-81.4125,154605.04,0.03726,86.00,0.092654,0.7579,
15456,92,-74.3646,148044.78,0.00790,71.50,0.033985,0.7553,
15624,93,-73.5168,150982.85,0.04351,79.25,0.025521,0.7526,
15792,94,-75.4273,152110.96,0.04197,84.25,0.027320,0.7500,
15960,95,-97.4333,187508.55,0.01824,85.50,0.045388,0.7473,
16128,96,-73.3821,153857.21,0.02091,78.50,0.028960,0.7446,
16296,97,-75.1573,151359.39,0.02375,78.50,0.113247,0.7420,
16464,98,-74.6386,154227.76,0.03667,85.25,0.034846,0.7393,
16632,99,-74.3232,148208.43,0.04072,82.75,0.037434,0.7367,
16800,100,-74.2766,142090.66,0.06791,90.25,0.193478,0.7340,
16968,101,-95.3386,189556.25,0.02058,83.25,0.034626,0.7313,
17136,102,-95.5895,182530.61,0.01904,82.75,0.036563,0.7287,
17304,103,-77.8056,161216.58,0.04513,90.00,0.105345,0.7260,
17472,104,-76.2597,141427.03,0.04466,81.00,0.045987,0.7234,
17640,105,-82.4079,159487.82,0.04150,87.25,0.092780,0.7207,
17808,106,-100.1197,184012.91,0.03281,87.00,0.120185,0.7180,
17976,107,-95.7077,177297.17,0.02912,82.75,0.032635,0.7154,
18144,108,-77.3002,150597.96,0.04873,88.00,0.044701,0.7127,
18312,109,-73.7347,140711.79,0.03177,77.00,0.030296,0.7101,
18480,110,-77.2169,153070.36,0.03001,80.00,0.035917,0.7074,
18648,111,-78.8855,157632.31,0.05468,94.50,0.027757,0.7047,
18816,112,-72.6361,142075.99,0.02312,71.75,0.052592,0.7021,
18984,113,-74.7915,152602.49,0.02102,77.50,0.041744,0.6994,
19152,114,-94.0443,184829.29,0.02583,84.75,0.036483,0.6968,
19320,115,-93.9030,189641.65,0.02800,87.25,0.029927,0.6941,
19488,116,-102.7640,193941.36,0.05254,100.00,0.032810,0.6914,
19656,117,-71.0602,139595.52,0.02575,72.75,0.052339,0.6888,
19824,118,-81.0762,155724.20,0.03920,85.25,0.133340,0.6861,
19992,119,-98.4756,188630.58,0.01939,86.25,0.121128,0.6835,
20000,119,,,,,,,-69.3887
