step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
14616,87,-77.5359,156805.02,0.02823,78.50,0.046692,0.7686,
14784,88,-73.0528,145416.99,0.05828,85.25,0.028295,0.7659,
14952,89,-79.2213,164589.16,0.04394,91.00,0.036580,0.7633,
15000,89,,,,,,,-76.6495
15120,90,-77.2234,153145.63,0.03878,84.00,0.052722,0.7606,
15288,91,-80.5437,149678.64,0.05031,88.25,0.036050,0.7579,
15456,92,-75.6513,147363.40,0.03738,83.75,0.041074,0.7553,
15624,93,-74.4844,151700.59,0.04449,81.00,0.033848,0.7526,
15792,94,-75.5625,148243.72,0.04870,85.75,0.028421,0.7500,
15960,95,-97.0850,184534.59,0.02951,85.00,0.039375,0.7473,
16128,96,-72.0698,149481.17,0.02408,76.75,0.035326,0.7446,
16296,97,-74.0403,149236.08,0.01659,74.25,0.072783,0.7420,
16464,98,-73.7296,153018.62,0.03359,81.50,0.052112,0.7393,
16632,99,-75.8836,143474.09,0.04418,83.25,0.042293,0.7367,
16800,100,-73.6574,140810.48,0.05885,86.50,0.056696,0.7340,
16968,101,-95.2727,184907.30,0.01604,83.00,0.034625,0.7313,
17136,102,-96.5787,184758.06,0.02627,87.00,0.045899,0.7287,
17304,103,-76.2665,152099.85,0.03397,80.50,0.038149,0.7260,
17472,104,-75.4703,142004.98,0.06635,91.25,0.065860,0.7234,
17640,105,-80.1957,154547.24,0.03890,85.25,0.038234,0.7207,
17808,106,-98.8879,175176.52,0.03780,87.00,0.048846,0.7180,
17976,107,-95.2264,174481.42,0.03383,81.75,0.044427,0.7154,
18144,108,-75.3919,148532.56,0.04580,85.75,0.048022,0.7127,
18312,109,-72.6147,136803.49,0.04349,75.50,0.037107,0.7101,
18480,110,-75.1900,149654.44,0.02080,76.25,0.029661,0.7074,
18648,111,-77.1782,157267.56,0.03810,86.25,0.038801,0.7047,
18816,112,-74.1815,134641.82,0.03053,72.50,0.041620,0.7021,
18984,113,-74.3745,148259.61,0.03218,79.75,0.050991,0.6994,
19152,114,-95.3715,184080.40,0.05002,93.00,0.035451,0.6968,
19320,115,-94.1361,186230.42,0.03521,89.25,0.044273,0.6941,
19488,116,-102.0787,186785.32,0.05505,96.50,0.030400,0.6914,
19656,117,-70.3699,138802.43,0.01838,69.50,0.050810,0.6888,
19824,118,-81.4332,147659.18,0.03770,80.50,0.076237,0.6861,
19992,119,-97.6391,177635.65,0.03681,84.50,0.063943,0.6835,
20000,119,,,,,,,-77.4199
20160,120,-97.9397,182170.34,0.04606,84.50,0.049971,0.6808,
20328,121,-69.7634,140103.62,0.02227,72.50,0.039901,0.6781,
20496,122,-73.7036,134398.31,0.04657,79.75,0.063572,0.6755,
20664,123,-75.2928,147818.96,0.03221,80.00,0.045784,0.6728,
20832,124,-68.2351,132298.91,0.02807,71.25,0.055077,0.6702,
21000,125,-97.2359,177303.31,0.02929,84.50,0.040725,0.6675,
21168,126,-73.3818,146110.52,0.03386,81.25,0.042062,0.6648,
21336,127,-70.4104,137477.74,0.02959,75.00,0.047564,0.6622,
21504,128,-79.1965,151583.97,0.05357,83.75,0.050203,0.6595,
21672,129,-70.1060,134685.22,0.03152,69.00,0.055032,0.6569,
21840,130,-74.6929,141267.38,0.05202,82.50,0.070319,0.6542,
22008,131,-71.6178,140217.18,0.02104,71.75,0.045786,0.6515,
22176,132,-72.8496,128229.07,0.03444,67.50,0.049217,0.6489,
22344,133,-72.2261,136430.05,0.04595,78.25,0.065298,0.6462,
22512,134,-72.4067,133236.20,0.03015,69.75,0.054698,0.6436,
22680,135,-79.5624,151643.85,0.04630,86.25,0.051238,0.6409,
22848,136,-68.8486,137517.97,0.02943,73.00,0.053197,0.6382,
23016,137,-71.3834,137609.01,0.01902,70.00,0.058046,0.6356,
23184,138,-94.8349,164423.59,0.03125,79.75,0.053723,0.6329,
23352,139,-78.3407,147764.36,0.02846,77.25,0.055839,0.6303,
23520,140,-70.3011,137289.12,0.04429,74.25,0.034337,0.6276,
23688,141,-70.2526,138483.22,0.03033,74.25,0.041416,0.6249,
23856,142,-99.1892,178188.78,0.03399,81.00,0.047605,0.6223,
24024,143,-69.2443,133259.28,0.05292,77.50,0.039869,0.6196,
24192,144,-72.5624,138488.86,0.03228,72.00,0.069080,0.6170,
24360,145,-91.9512,177184.78,0.03610,83.00,0.046487,0.6143,
24528,146,-72.1044,138090.44,0.04055,75.50,0.051826,0.6116,
24696,147,-72.2443,138082.84,0.05837,83.75,0.039165,0.6090,
24864,148,-74.6041,141397.16,0.03521,73.50,0.054915,0.6063,
25000,148,,,,,,,-67.9488
25032,149,-68.2685,127579.24,0.03428,70.25,0.046165,0.6037,
25200,150,-91.9470,176386.15,0.02927,84.00,0.050655,0.6010,
25368,151,-68.6116,132296.69,0.02912,67.25,0.051026,0.5983,
25536,152,-69.9151,133296.79,0.03604,69.25,0.042847,0.5957,
25704,153,-90.9010,181701.30,0.04178,88.00,0.047838,0.5930,
25872,154,-70.3764,133789.13,0.03749,73.00,0.046551,0.5904,
26040,155,-71.2721,135790.92,0.03592,75.50,0.044577,0.5877,
26208,156,-95.1398,173407.16,0.03682,85.25,0.048084,0.5850,
26376,157,-65.5277,126258.26,0.04591,71.75,0.068828,0.5824,
26544,158,-69.5517,130448.98,0.02557,65.75,0.036393,0.5797,
26712,159,-96.0535,180747.23,0.03881,84.50,0.063983,0.5771,
26880,160,-69.0680,128674.14,0.03019,71.25,0.053654,0.5744,
27048,161,-76.3901,134637.34,0.03382,71.50,0.060843,0.5717,
27216,162,-68.8065,133532.58,0.03768,72.75,0.083678,0.5691,
27384,163,-67.8293,134773.68,0.02755,72.50,0.052411,0.5664,
27552,164,-70.9464,125781.76,0.03089,68.75,0.058731,0.5638,
27720,165,-70.4253,141623.62,0.04015,78.75,0.062878,0.5611,
27888,166,-97.6017,194956.03,0.04528,97.50,0.041664,0.5584,
28056,167,-75.0185,139184.97,0.03156,75.00,0.031855,0.5558,
28224,168,-67.8607,123662.03,0.06136,79.00,0.042274,0.5531,
28392,169,-68.6168,127005.36,0.04931,74.00,0.047416,0.5505,
28560,170,-90.1678,171014.23,0.01451,75.75,0.051083,0.5478,
28728,171,-93.7687,174226.85,0.02580,80.25,0.044957,0.5451,
28896,172,-86.8342,127808.10,0.04663,72.25,0.060036,0.5425,
29064,173,-93.1855,164869.47,0.05148,84.00,0.048533,0.5398,
29232,174,-82.4197,135120.07,0.03600,73.75,0.058210,0.5372,
29400,175,-95.4594,176096.84,0.02872,83.50,0.060478,0.5345,
29568,176,-67.6006,120442.08,0.06834,76.75,0.058544,0.5318,
29736,177,-66.2084,128706.40,0.02406,68.50,0.054666,0.5292,
29904,178,-87.7700,168058.43,0.02315,75.50,0.070702,0.5265,
30000,178,,,,,,,-74.3625
