step,episode,episode_return,episode_wue,loss,epsilon,eval_return
19824,118,-75.4009,154113.58,0.055855,0.6861,
19992,119,-91.1950,184268.41,0.036125,0.6835,
20000,119,,,,,-59.5563
20160,120,-87.0393,173710.73,0.044366,0.6808,
20328,121,-65.2557,143756.19,0.067261,0.6781,
20496,122,-65.4749,141244.23,0.031824,0.6755,
20664,123,-67.1439,151434.63,0.050760,0.6728,
20832,124,-63.5943,138671.42,0.056160,0.6702,
21000,125,-91.5390,177990.82,0.034854,0.6675,
21168,126,-65.4875,138190.62,0.038600,0.6648,
21336,127,-63.9312,140750.47,0.041501,0.6622,
21504,128,-74.7689,156735.10,0.055845,0.6595,
21672,129,-63.0968,137563.92,0.067710,0.6569,
21840,130,-64.7791,141047.56,0.040755,0.6542,
22008,131,-65.8172,145226.41,0.068381,0.6515,
22176,132,-65.5761,143377.19,0.047851,0.6489,
22344,133,-63.8280,142335.02,0.025257,0.6462,
22512,134,-64.2444,146725.69,0.042714,0.6436,
22680,135,-70.4036,146188.27,0.030580,0.6409,
22848,136,-66.4189,144708.83,0.042755,0.6382,
23016,137,-65.1560,136413.57,0.038046,0.6356,
23184,138,-88.0389,183356.20,0.083694,0.6329,
23352,139,-76.7789,136569.06,0.073194,0.6303,
23520,140,-66.2099,131319.67,0.060706,0.6276,
23688,141,-62.7306,133655.07,0.057952,0.6249,
23856,142,-84.7520,180438.36,0.054804,0.6223,
24024,143,-60.7593,130347.24,0.047129,0.6196,
24192,144,-64.5816,131803.96,0.046253,0.6170,
24360,145,-85.1159,182446.60,0.043177,0.6143,
24528,146,-66.9174,143972.09,0.039467,0.6116,
24696,147,-61.9019,137277.02,0.035267,0.6090,
24864,148,-68.1980,147308.94,0.055150,0.6063,
25032,149,-63.9164,135403.79,0.034750,0.6037,
25200,150,-89.0944,175419.59,0.044949,0.6010,
25368,151,-62.9625,134215.99,0.046259,0.5983,
25536,152,-62.8413,129496.03,0.039862,0.5957,
25704,153,-90.9996,171521.50,0.034743,0.5930,
25872,154,-59.4970,127999.87,0.059278,0.5904,
26040,155,-64.7120,131256.75,0.063282,0.5877,
26208,156,-86.9149,178953.67,0.049752,0.5850,
26376,157,-62.2455,131337.86,0.057103,0.5824,
26544,158,-61.5574,126528.85,0.056749,0.5797,
26712,159,-84.7480,165525.21,0.065204,0.5771,
26880,160,-62.8580,127186.88,0.044046,0.5744,
27048,161,-71.0570,141384.91,0.044473,0.5717,
27216,162,-58.3078,122580.10,0.066013,0.5691,
27384,163,-63.8654,127995.86,0.049562,0.5664,
27552,164,-58.1187,124909.61,0.045619,0.5638,
27720,165,-59.9889,122365.58,0.051231,0.5611,
27888,166,-85.7976,183129.74,0.033659,0.5584,
28056,167,-66.3819,134264.79,0.064813,0.5558,
28224,168,-61.0893,118133.48,0.057400,0.5531,
28392,169,-59.8275,124637.26,0.038046,0.5505,
28560,170,-82.9013,173222.29,0.042017,0.5478,
28728,171,-91.0637,177807.65,0.053198,0.5451,
28896,172,-71.2585,142841.77,0.034009,0.5425,
29064,173,-90.4570,171931.72,0.051531,0.5398,
29232,174,-71.1549,134822.49,0.043303,0.5372,
29400,175,-84.6278,169210.42,0.060477,0.5345,
29568,176,-57.0980,111597.27,0.047136,0.5318,
29736,177,-55.9622,114924.03,0.048394,0.5292,
29904,178,-82.8508,174253.61,0.039920,0.5265,
30000,178,,,,,-57.9684
30072,179,-61.1456,130898.62,0.054493,0.5239,
30240,180,-59.4191,125963.13,0.046322,0.5212,
30408,181,-62.1087,131585.31,0.066347,0.5185,
30576,182,-61.9986,128963.60,0.060105,0.5159,
30744,183,-60.5860,122351.64,0.057896,0.5132,
30912,184,-68.3074,139844.10,0.064211,0.5106,
31080,185,-69.5349,143504.50,0.033872,0.5079,
31248,186,-64.6909,120728.40,0.040699,0.5052,
31416,187,-64.9834,116840.13,0.067176,0.5026,
31584,188,-58.0025,117062.64,0.060362,0.4999,
31752,189,-57.8677,116831.77,0.066019,0.4973,
31920,190,-67.7745,140041.24,0.040980,0.4946,
32088,191,-61.1177,118381.31,0.060700,0.4919,
32256,192,-90.8469,177304.16,0.034918,0.4893,
32424,193,-55.2394,110826.21,0.069251,0.4866,
32592,194,-61.1384,123737.83,0.050026,0.4840,
32760,195,-61.7496,121124.54,0.048769,0.4813,
32928,196,-55.8016,120662.93,0.066819,0.4786,
33096,197,-57.9571,121985.16,0.071205,0.4760,
33264,198,-59.0184,120169.57,0.045446,0.4733,
33432,199,-63.9863,128416.97,0.067422,0.4707,
33600,200,-58.4126,115933.51,0.039018,0.4680,
33768,201,-57.9255,114408.25,0.054332,0.4653,
33936,202,-69.7745,128107.92,0.058616,0.4627,
34104,203,-83.2165,166347.59,0.038160,0.4600,
34272,204,-85.1436,180765.53,0.052150,0.4574,
34440,205,-54.4064,100892.80,0.056584,0.4547,
34608,206,-59.3189,111478.15,0.065229,0.4520,
34776,207,-57.8424,114167.75,0.058725,0.4494,
34944,208,-57.4992,111720.52,0.041304,0.4467,
35112,209,-58.5598,118440.35,0.035962,0.4441,
35280,210,-86.2477,156578.45,0.083070,0.4414,
35448,211,-71.0519,120237.70,0.050774,0.4387,
35616,212,-58.4809,122006.48,0.046272,0.4361,
35784,213,-56.6418,118352.49,0.039854,0.4334,
35952,214,-69.1612,126646.44,0.042616,0.4308,
36120,215,-58.5943,129428.18,0.070971,0.4281,
36288,216,-59.2434,112920.83,0.039909,0.4254,
36456,217,-56.4351,112497.23,0.065986,0.4228,
36624,218,-67.7238,129211.78,0.049165,0.4201,
36792,219,-84.2250,170018.40,0.056693,0.4175,
36960,220,-58.0871,115723.53,0.053700,0.4148,
37128,221,-56.1378,119659.94,0.051728,0.4121,
37296,222,-67.6673,133349.92,0.048059,0.4095,
37464,223,-82.3244,169526.91,0.039373,0.4068,
