step,episode,episode_return,episode_wue,loss,epsilon,eval_return
19488,116,-101.5379,192354.29,0.028139,0.6914,
19656,117,-71.0019,140782.39,0.048361,0.6888,
19824,118,-81.7835,157226.63,0.127733,0.6861,
19992,119,-98.2319,188050.74,0.119166,0.6835,
20000,119,,,,,-71.1360
20160,120,-97.2101,185900.90,0.116200,0.6808,
20328,121,-70.0278,145714.31,0.028935,0.6781,
20496,122,-74.2796,144151.52,0.045078,0.6755,
20664,123,-77.4358,154692.78,0.037184,0.6728,
20832,124,-71.5281,140733.63,0.112301,0.6702,
21000,125,-96.2707,182498.51,0.105847,0.6675,
21168,126,-72.7130,147341.68,0.035057,0.6648,
21336,127,-73.1725,142287.65,0.038630,0.6622,
21504,128,-77.7853,154672.33,0.041882,0.6595,
21672,129,-73.6598,142782.14,0.042600,0.6569,
21840,130,-76.0622,150132.25,0.129349,0.6542,
22008,131,-73.4956,144564.18,0.042061,0.6515,
22176,132,-71.8191,140238.75,0.042088,0.6489,
22344,133,-72.4554,143418.46,0.044929,0.6462,
22512,134,-72.9684,139329.94,0.061745,0.6436,
22680,135,-83.6339,154975.75,0.200999,0.6409,
22848,136,-69.7621,143684.45,0.119043,0.6382,
23016,137,-73.7126,148432.51,0.038160,0.6356,
23184,138,-94.7707,176247.82,0.117049,0.6329,
23352,139,-79.2945,153513.24,0.038240,0.6303,
23520,140,-71.2552,145194.46,0.028760,0.6276,
23688,141,-74.5779,143820.32,0.025412,0.6249,
23856,142,-96.1135,189476.84,0.115279,0.6223,
24024,143,-70.3244,140502.20,0.117469,0.6196,
24192,144,-74.3431,140608.09,0.049468,0.6170,
24360,145,-93.0096,183492.72,0.043647,0.6143,
24528,146,-73.2473,141744.65,0.046927,0.6116,
24696,147,-73.2215,146232.00,0.115732,0.6090,
24864,148,-74.0867,150131.51,0.044911,0.6063,
25000,148,,,,,-80.3644
25032,149,-68.8602,137498.64,0.050288,0.6037,
25200,150,-94.0030,179036.63,0.056997,0.6010,
25368,151,-68.1319,139263.54,0.111060,0.5983,
25536,152,-68.9216,135927.90,0.035083,0.5957,
25704,153,-92.6939,178458.78,0.059381,0.5930,
25872,154,-70.5151,140264.15,0.036518,0.5904,
26040,155,-69.9145,138124.74,0.116526,0.5877,
26208,156,-97.4690,184294.13,0.038805,0.5850,
26376,157,-68.2757,135822.34,0.055793,0.5824,
26544,158,-70.9094,137040.11,0.030672,0.5797,
26712,159,-98.1940,184021.02,0.125846,0.5771,
26880,160,-68.0821,133919.18,0.042601,0.5744,
27048,161,-77.9539,141274.40,0.129384,0.5717,
27216,162,-69.5568,137577.88,0.051569,0.5691,
27384,163,-70.2950,141557.99,0.126507,0.5664,
27552,164,-68.1103,131742.04,0.114144,0.5638,
27720,165,-71.2588,143566.02,0.055423,0.5611,
27888,166,-100.5525,187722.42,0.037142,0.5584,
28056,167,-77.2332,142847.02,0.030842,0.5558,
28224,168,-71.2338,129837.74,0.051688,0.5531,
28392,169,-71.3464,131317.92,0.119562,0.5505,
28560,170,-88.9090,173676.87,0.047212,0.5478,
28728,171,-97.3975,180463.90,0.046738,0.5451,
28896,172,-85.3877,134072.98,0.126818,0.5425,
29064,173,-92.9541,170884.77,0.051810,0.5398,
29232,174,-79.7311,149712.55,0.047311,0.5372,
29400,175,-95.2634,178806.83,0.049637,0.5345,
29568,176,-67.4533,117953.23,0.122042,0.5318,
29736,177,-67.9995,127748.39,0.045952,0.5292,
29904,178,-91.3172,180988.39,0.053419,0.5265,
30000,178,,,,,-67.7945
30072,179,-65.8617,123086.30,0.126603,0.5239,
30240,180,-69.6344,133954.56,0.137535,0.5212,
30408,181,-72.9376,131629.42,0.114029,0.5185,
30576,182,-70.0494,135536.20,0.045388,0.5159,
30744,183,-66.5100,125686.82,0.059523,0.5132,
30912,184,-73.3597,138718.43,0.068700,0.5106,
31080,185,-78.6066,137921.27,0.057746,0.5079,
31248,186,-71.6495,135951.59,0.135453,0.5052,
31416,187,-68.2813,116967.67,0.056230,0.5026,
31584,188,-67.9420,123732.95,0.035674,0.4999,
31752,189,-67.9146,126181.80,0.034445,0.4973,
31920,190,-75.8270,133266.78,0.200682,0.4946,
32088,191,-68.9749,116384.60,0.044640,0.4919,
32256,192,-100.5946,181909.09,0.044255,0.4893,
32424,193,-67.4023,124448.90,0.052635,0.4866,
32592,194,-69.3023,131423.73,0.047101,0.4840,
32760,195,-75.2821,131092.15,0.043388,0.4813,
32928,196,-68.9678,118128.67,0.044288,0.4786,
33096,197,-65.0581,130135.45,0.049839,0.4760,
33264,198,-68.1316,120021.30,0.039418,0.4733,
33432,199,-74.1073,127371.23,0.051996,0.4707,
33600,200,-62.7747,121158.87,0.122276,0.4680,
33768,201,-63.3795,121868.52,0.038566,0.4653,
33936,202,-76.8699,124363.26,0.046519,0.4627,
34104,203,-87.4364,167274.59,0.124179,0.4600,
34272,204,-99.8679,172865.54,0.065512,0.4574,
34440,205,-66.9021,117166.62,0.215076,0.4547,
34608,206,-68.9422,134672.12,0.106508,0.4520,
34776,207,-67.0124,137304.47,0.127844,0.4494,
34944,208,-66.0772,119996.86,0.044635,0.4467,
35000,208,,,,,-64.6773
35112,209,-67.7027,127516.09,0.046780,0.4441,
35280,210,-94.3974,165660.06,0.140723,0.4414,
35448,211,-74.1580,128552.62,0.124905,0.4387,
35616,212,-68.6137,130470.70,0.113986,0.4361,
35784,213,-65.7738,114874.25,0.156613,0.4334,
35952,214,-74.9813,127356.14,0.038597,0.4308,
36120,215,-65.7339,119905.20,0.119609,0.4281,
36288,216,-71.0190,117096.49,0.116789,0.4254,
36456,217,-65.7052,116255.85,0.048283,0.4228,
36624,218,-76.8167,128887.45,0.046268,0.4201,
36792,219,-100.1914,173239.05,0.109272,0.4175,
36960,220,-67.0688,126739.06,0.167225,0.4148,
37128,221,-65.4788,113030.52,0.106153,0.4121,
37296,222,-73.4974,131151.55,0.049316,0.4095,
37464,223,-91.7664,173353.60,0.067486,0.4068,
37632,224,-65.8431,128365.03,0.059337,0.4042,
37800,225,-69.8420,126284.59,0.068419,0.4015,
37968,226,-65.9254,119309.33,0.039444,0.3988,
38136,227,-66.3573,122153.17,0.154394,0.3962,
38304,228,-93.8824,169715.20,0.068859,0.3935,
38472,229,-65.1608,116982.12,0.157201,0.3909,
38640,230,-91.8567,164229.00,0.095280,0.3882,
38808,231,-87.8953,165174.54,0.064659,0.3855,
38976,232,-92.9949,169840.12,0.066275,0.3829,
39144,233,-68.3439,118176.44,0.086622,0.3802,
39312,234,-75.7063,130040.68,0.108061,0.3776,
39480,235,-63.7661,107979.46,0.071931,0.3749,
39648,236,-92.5869,150010.36,0.088155,0.3722,
