step,episode,episode_return,episode_wue,loss,epsilon,eval_return
168,1,-123.0973,183626.08,0.730686,0.9973,
336,2,-100.9210,172049.42,0.121196,0.9947,
504,3,-107.2295,187127.96,0.083384,0.9920,
672,4,-128.4718,186246.61,0.094907,0.9894,
840,5,-99.6722,189416.75,0.051848,0.9867,
1008,6,-124.3135,203285.81,0.035549,0.9840,
1176,7,-121.8908,203830.58,0.022575,0.9814,
1344,8,-115.4145,191168.73,0.037052,0.9787,
1512,9,-106.6535,182287.63,0.017798,0.9761,
1680,10,-102.8539,178832.31,0.011350,0.9734,
1848,11,-109.5721,193234.53,0.038878,0.9707,
2016,12,-100.1453,176893.01,0.015807,0.9681,
2184,13,-102.6704,175566.29,0.010389,0.9654,
2352,14,-113.9965,193816.89,0.013766,0.9628,
2520,15,-105.3413,181577.91,0.009028,0.9601,
2688,16,-116.1480,194321.86,0.017835,0.9574,
2856,17,-103.1067,167938.27,0.011015,0.9548,
3024,18,-99.6200,170073.36,0.040617,0.9521,
3192,19,-97.0514,166924.42,0.012903,0.9495,
3360,20,-100.1219,169446.64,0.018379,0.9468,
3528,21,-98.2384,178370.77,0.019808,0.9441,
3696,22,-100.2499,175103.03,0.011134,0.9415,
3864,23,-96.9939,173134.55,0.011816,0.9388,
4032,24,-100.5794,176315.46,0.015995,0.9362,
4200,25,-115.8971,191981.22,0.015341,0.9335,
4368,26,-97.4201,170287.28,0.011439,0.9308,
4536,27,-96.1954,168195.94,0.016431,0.9282,
4704,28,-120.0916,192996.15,0.019361,0.9255,
4872,29,-94.9120,169410.23,0.018397,0.9229,
5040,30,-116.4117,184233.70,0.022882,0.9202,
5208,31,-117.7346,183061.08,0.019711,0.9175,
5376,32,-100.7323,171773.13,0.025089,0.9149,
5544,33,-98.0893,165624.75,0.022955,0.9122,
5712,34,-95.2141,167996.63,0.026605,0.9096,
5880,35,-95.6470,160822.33,0.017166,0.9069,
6048,36,-115.7004,190740.28,0.028637,0.9042,
6216,37,-95.8137,164642.80,0.029266,0.9016,
6384,38,-118.3870,187295.40,0.017407,0.8989,
