step,episode,episode_return,episode_wue,loss,epsilon,eval_return
19824,118,-85.6604,149781.79,0.040923,0.6861,
19992,119,-98.0950,179599.90,0.030602,0.6835,
20000,119,,,,,-79.9949
20160,120,-91.2157,176660.16,0.037822,0.6808,
20328,121,-72.3309,142227.08,0.060863,0.6781,
20496,122,-70.7165,141527.06,0.033383,0.6755,
20664,123,-73.6229,152540.05,0.050460,0.6728,
20832,124,-69.1704,140591.30,0.060003,0.6702,
21000,125,-101.6744,174701.03,0.040042,0.6675,
21168,126,-70.8397,136299.58,0.034621,0.6648,
21336,127,-69.8789,142910.25,0.029041,0.6622,
21504,128,-81.3663,148844.53,0.035848,0.6595,
21672,129,-69.7250,131199.43,0.055279,0.6569,
21840,130,-73.4123,141435.13,0.048555,0.6542,
22008,131,-75.1519,145442.54,0.045672,0.6515,
22176,132,-72.8168,142118.00,0.038992,0.6489,
22344,133,-68.6930,139542.58,0.035170,0.6462,
22512,134,-70.5322,143107.44,0.039023,0.6436,
22680,135,-77.4593,154141.06,0.036860,0.6409,
22848,136,-75.0614,146574.45,0.033781,0.6382,
23016,137,-71.7183,139660.37,0.032492,0.6356,
23184,138,-95.0106,185429.06,0.060482,0.6329,
23352,139,-82.0467,136446.20,0.057860,0.6303,
23520,140,-72.0073,131504.68,0.037691,0.6276,
23688,141,-72.0756,134138.26,0.047445,0.6249,
23856,142,-91.4197,178115.12,0.035865,0.6223,
24024,143,-68.0273,130699.12,0.028387,0.6196,
24192,144,-69.7520,133659.74,0.041022,0.6170,
24360,145,-91.9958,177737.10,0.039932,0.6143,
24528,146,-72.3080,143272.78,0.039010,0.6116,
24696,147,-69.6699,132175.33,0.034006,0.6090,
24864,148,-72.8424,145725.82,0.050619,0.6063,
25032,149,-71.6669,137902.59,0.041411,0.6037,
25200,150,-95.2595,182019.46,0.037139,0.6010,
25368,151,-71.1366,139121.83,0.038876,0.5983,
25536,152,-68.6320,132227.73,0.037651,0.5957,
25704,153,-99.5758,166700.89,0.023593,0.5930,
25872,154,-67.2109,132024.82,0.046537,0.5904,
26040,155,-69.7282,134832.00,0.038620,0.5877,
26208,156,-96.2485,179223.19,0.038840,0.5850,
26376,157,-70.1856,130423.93,0.051238,0.5824,
26544,158,-69.6978,127366.41,0.038512,0.5797,
26712,159,-92.4790,175173.95,0.048548,0.5771,
26880,160,-71.1237,126888.56,0.043326,0.5744,
27048,161,-78.2595,148495.80,0.033730,0.5717,
27216,162,-66.5256,129336.46,0.043561,0.5691,
27384,163,-70.8820,129278.25,0.040000,0.5664,
27552,164,-67.2627,129076.07,0.042907,0.5638,
27720,165,-67.5230,127210.13,0.036531,0.5611,
27888,166,-94.3609,184638.74,0.034247,0.5584,
28056,167,-74.0039,129400.54,0.048767,0.5558,
28224,168,-65.9445,120182.09,0.056738,0.5531,
28392,169,-66.9254,126168.66,0.026554,0.5505,
28560,170,-89.9208,172877.65,0.056434,0.5478,
28728,171,-97.9043,171864.66,0.034819,0.5451,
28896,172,-79.0222,150285.60,0.035128,0.5425,
29064,173,-95.1043,178585.93,0.051505,0.5398,
29232,174,-79.0277,137278.33,0.043135,0.5372,
29400,175,-92.2043,168108.59,0.051336,0.5345,
29568,176,-64.4870,116439.75,0.059486,0.5318,
29736,177,-65.2316,118855.72,0.052357,0.5292,
29904,178,-88.9008,176050.49,0.038580,0.5265,
30000,178,,,,,-77.5389
30072,179,-66.5169,132394.17,0.039750,0.5239,
30240,180,-65.7527,124937.08,0.038603,0.5212,
30408,181,-68.9341,134800.12,0.072272,0.5185,
30576,182,-67.9731,132425.62,0.042300,0.5159,
30744,183,-68.5743,128912.71,0.040647,0.5132,
30912,184,-78.5339,143692.26,0.053718,0.5106,
31080,185,-76.3865,147528.02,0.033630,0.5079,
31248,186,-72.0466,125665.00,0.034835,0.5052,
31416,187,-67.6639,121970.09,0.055818,0.5026,
31584,188,-65.8265,116424.49,0.042836,0.4999,
31752,189,-66.4574,123407.81,0.045313,0.4973,
31920,190,-76.2561,144331.48,0.035332,0.4946,
32088,191,-66.3133,125809.67,0.047892,0.4919,
32256,192,-97.8729,176821.41,0.034996,0.4893,
32424,193,-63.7832,114457.13,0.041730,0.4866,
32592,194,-67.7389,125897.05,0.038821,0.4840,
32760,195,-72.2026,124850.50,0.033608,0.4813,
32928,196,-63.0932,122925.10,0.061035,0.4786,
33096,197,-64.5698,119182.56,0.052423,0.4760,
33264,198,-65.6879,114509.32,0.045475,0.4733,
33432,199,-69.6986,132362.64,0.048058,0.4707,
33600,200,-66.1852,120094.48,0.042881,0.4680,
33768,201,-65.9721,115812.07,0.049812,0.4653,
33936,202,-72.5157,134446.18,0.051512,0.4627,
34104,203,-88.8689,171283.68,0.036151,0.4600,
34272,204,-94.4898,177664.37,0.049604,0.4574,
34440,205,-60.6269,100822.16,0.034206,0.4547,
34608,206,-64.7300,112061.05,0.049463,0.4520,
34776,207,-66.3295,117407.51,0.047832,0.4494,
34944,208,-65.4880,113846.50,0.042942,0.4467,
35112,209,-69.0645,123514.47,0.021566,0.4441,
35280,210,-91.0181,167162.28,0.058008,0.4414,
35448,211,-79.2960,123143.93,0.048531,0.4387,
35616,212,-65.2065,127117.30,0.046278,0.4361,
35784,213,-66.3900,121637.59,0.043079,0.4334,
35952,214,-74.6918,130925.89,0.037423,0.4308,
36120,215,-66.1632,127891.78,0.055550,0.4281,
36288,216,-66.0616,114118.92,0.037962,0.4254,
36456,217,-61.0162,121375.05,0.052667,0.4228,
36624,218,-76.0064,130087.24,0.044787,0.4201,
36792,219,-94.2304,169631.14,0.054659,0.4175,
36960,220,-64.7329,118924.04,0.048058,0.4148,
37128,221,-65.6119,119411.11,0.042570,0.4121,
37296,222,-74.2546,134714.45,0.067481,0.4095,
37464,223,-93.9322,175041.62,0.035679,0.4068,
37632,224,-60.5954,107995.07,0.059821,0.4042,
37800,225,-59.6263,106455.41,0.044858,0.4015,
37968,226,-64.2158,103495.11,0.054401,0.3988,
38136,227,-66.1274,117835.60,0.041179,0.3962,
38304,228,-89.1765,169011.37,0.032896,0.3935,
38472,229,-62.8264,111232.99,0.045209,0.3909,
38640,230,-91.9525,171187.17,0.032035,0.3882,
38808,231,-89.8417,167780.33,0.047698,0.3855,
38976,232,-92.7675,178250.60,0.031319,0.3829,
39144,233,-69.9802,124862.94,0.044078,0.3802,
39312,234,-73.2600,124896.89,0.037754,0.3776,
39480,235,-61.1562,106311.78,0.043604,0.3749,
39648,236,-90.4433,173033.50,0.054462,0.3722,
39816,237,-64.2623,108610.95,0.040179,0.3696,
39984,238,-59.1309,98716.26,0.041348,0.3669,
40000,238,,,,,-67.9537
40152,239,-60.3083,109594.03,0.035823,0.3643,
40320,240,-63.8802,114544.05,0.039582,0.3616,
40488,241,-62.9331,110988.58,0.044547,0.3589,
40656,242,-88.0764,165845.96,0.041597,0.3563,
40824,243,-72.5175,129560.80,0.047808,0.3536,
40992,244,-63.2957,118530.48,0.025754,0.3510,
41160,245,-62.4612,109396.00,0.041267,0.3483,
41328,246,-89.9852,164270.95,0.037142,0.3456,
41496,247,-74.0266,123462.54,0.034956,0.3430,
41664,248,-63.4921,112931.92,0.051307,0.3403,
41832,249,-59.4624,105742.82,0.056544,0.3377,
42000,250,-83.2530,155815.98,0.042732,0.3350,
42168,251,-88.0200,151215.64,0.033582,0.3323,
42336,252,-82.6683,163345.74,0.038224,0.3297,
42504,253,-88.0442,161634.83,0.045524,0.3270,
42672,254,-71.2387,113956.50,0.040072,0.3244,
42840,255,-84.9710,167516.65,0.052264,0.3217,
43008,256,-71.4800,123076.80,0.053212,0.3190,
43176,257,-60.2303,99572.92,0.037489,0.3164,
43344,258,-59.8556,111373.53,0.044616,0.3137,
43512,259,-87.6617,169727.55,0.041071,0.3111,
43680,260,-77.0338,131743.38,0.046165,0.3084,
43848,261,-63.4509,109199.58,0.033693,0.3057,
44016,262,-59.5321,103463.18,0.046389,0.3031,
44184,263,-63.0749,105880.32,0.039585,0.3004,
44352,264,-60.9315,102036.72,0.041620,0.2978,
44520,265,-59.8719,90563.25,0.039804,0.2951,
44688,266,-86.4138,158983.53,0.054497,0.2924,
44856,267,-60.2609,106091.67,0.040643,0.2898,
45024,268,-58.6076,100519.15,0.041167,0.2871,
45192,269,-88.4779,158132.89,0.053757,0.2845,
45360,270,-60.5322,104035.87,0.056070,0.2818,
